id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication
5465122,https://www.airbnb.com/rooms/5465122,"TSIM SHA TSUI, Kowloon, Hong Kong",Yau Tsim Mong,22.29728,114.17249,2,"$217,591.00",4.46,4.81,4.33,4.47,4.71
5465183,https://www.airbnb.com/rooms/5465183,"TSIM SHA TSUI, KOWLOON, Hong Kong",Yau Tsim Mong,22.29728,114.17253,2,"$372,136.00",4.68,4.84,4.59,4.81,4.89
5465211,https://www.airbnb.com/rooms/5465211,,Yau Tsim Mong,22.29749,114.17259,2,"$274,863.00",4.63,4.86,4.55,4.73,4.74
5484418,https://www.airbnb.com/rooms/5484418,,Yau Tsim Mong,22.29747,114.1726,2,"$227,971.00",4.53,4.86,4.43,4.67,4.82
5491259,https://www.airbnb.com/rooms/5491259,"Hong Kong , Hong Kong Island, Hong Kong",Central & Western,22.28295,114.15344,2,$550.00,4.78,4.91,4.74,4.78,4.86
5535344,https://www.airbnb.com/rooms/5535344,"Mei Foo, Kowloon, Hong Kong",Sham Shui Po,22.33797,114.13855,7,"$1,357.00",4.58,4.93,4.79,4.81,4.84
5678100,https://www.airbnb.com/rooms/5678100,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,22.27862,114.18712,4,"$1,492.00",4.61,4.82,4.68,4.82,4.94
5697492,https://www.airbnb.com/rooms/5697492,"Hong Kong, New Territories, Hong Kong",Sai Kung,22.30151,114.25075,4,"$1,500.00",4.82,4.91,4.82,4.91,4.91
5762711,https://www.airbnb.com/rooms/5762711,,Yau Tsim Mong,22.29964,114.17162,2,"$1,000.00",,,,,
5839682,https://www.airbnb.com/rooms/5839682,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.30572,114.17098,2,$360.00,1.0,1.0,1.0,1.0,1.0
5874991,https://www.airbnb.com/rooms/5874991,,Yau Tsim Mong,22.3207,114.17109,4,$980.00,4.44,4.85,4.52,4.81,4.77
5875014,https://www.airbnb.com/rooms/5875014,,Yau Tsim Mong,22.32076,114.17034,2,$400.00,4.67,4.67,4.17,4.17,4.17
5889408,https://www.airbnb.com/rooms/5889408,"Tsim Sha Tsui District 尖沙咀, Kowloon, Hong Kong",Yau Tsim Mong,22.30066,114.17346,2,$584.00,4.62,4.78,4.7,4.79,4.89
5946787,https://www.airbnb.com/rooms/5946787,"Hong Kong, New Territories, Hong Kong",Islands,22.29371,113.94935,1,$375.00,4.68,4.89,4.68,4.87,4.88
