,room_type, bathrooms_text ,bedrooms,price
2072,Private room, 1 bath ,1,180
2073,Private room, 1 private bath ,1,450
2074,Private room, 1 bath ,1,180
2075,Private room, 1 bath ,1,150
2076,Private room, 1 bath ,1,180
2077,Private room, 1 shared bath ,1,180
2078,Entire home/apt, 1 bath ,2,10768
2079,Private room, 1 bath ,1,120
2080,Private room, 1 bath ,1,180
2081,Private room, 1 bath ,1,160
2082,Private room, 2 shared baths ,1,180
2083,Private room, 2 shared baths ,1,160
2084,Private room, 1 bath ,1,180
2085,Private room, 1 shared bath ,1,180
2086,Private room, 1 bath ,1,180
2087,Private room, 1 bath ,1,180
2088,Private room, 1 private bath ,1,293
2089,Private room, 1 bath ,1,180
2090,Private room, 1 shared bath ,1,180
2091,Private room, 1 bath ,1,180
2092,Entire home/apt, 1 bath ,3,10768
2093,Private room, 1 shared bath ,1,180
2094,Entire home/apt, 1 bath ,1,770
2095,Entire home/apt, 1 bath ,1,867
2096,Private room, 1 bath ,1,180
2097,Private room, 1 bath ,1,180
2098,Private room, 1 shared bath ,1,180
2099,Entire home/apt, 1 bath ,1,527
2100,Entire home/apt, 1 bath ,1,867
2101,Private room, 2 shared baths ,5,220
2102,Private room, 1 bath ,1,180
2103,Private room, 1 bath ,1,180
2104,Private room, 2 shared baths ,1,180
2105,Private room, 1 shared bath ,1,180
2106,Private room, 1 bath ,1,211
2107,Private room, 1 bath ,1,180
2108,Private room, 1 private bath ,4,500
2109,Private room, 2 baths ,1,180
2110,Entire home/apt, 1 bath ,1,1043
2111,Entire home/apt, 1 bath ,1,829
2112,Private room, 2 shared baths ,1,180
2113,Private room, 2 shared baths ,1,180
2114,Private room, 2 shared baths ,1,180
2115,Private room, 2 shared baths ,1,180
2116,Private room, 2 shared baths ,1,180
2117,Shared room, 1 shared bath ,1,398
2118,Private room, 1 shared bath ,1,206
2119,Private room, 1 bath ,1,180
2120,Private room, 1 private bath ,1,424
2121,Private room, 1 shared bath ,1,180
2122,Private room, 1 shared bath ,1,180
2123,Private room, 1 shared bath ,1,180
2124,Entire home/apt, 1 bath ,1,2000
2125,Private room, 1 bath ,1,861
2126,Entire home/apt, 2 baths ,3,900
2127,Private room, 1 private bath ,1,217
2128,Private room, 1 shared bath ,1,180
2129,Private room, 1 shared bath ,1,180
2130,Private room, 1 shared bath ,1,180
2131,Private room, 1 private bath ,1,1200
2132,Private room, 1 shared bath ,1,520
2133,Private room, 1 shared bath ,1,180
2134,Private room, 1 shared bath ,1,180
2135,Private room, 1 shared bath ,1,180
2136,Private room, 1 shared bath ,1,180
2137,Private room, 1 shared bath ,1,180
2138,Private room, 1 shared bath ,1,180
2139,Private room, 1 private bath ,1,350
2140,Private room, 1 bath ,1,180
2141,Private room, 1 shared bath ,1,180
2142,Private room, 1 shared bath ,1,180
2143,Private room, 1 shared bath ,1,217
2144,Private room, 1 shared bath ,1,180
2145,Private room, 1 shared bath ,1,180
2146,Shared room, 1 shared bath ,1,180
2147,Private room, 1 shared bath ,1,180
2148,Private room, 1 shared bath ,1,180
2149,Private room, 1 private bath ,1,1014
2150,Private room, 2 baths ,1,180
2151,Private room, 2 baths ,1,180
2152,Private room, 2 baths ,1,180
2153,Private room, 1 bath ,1,180
2154,Entire home/apt, 1 bath ,2,358
2155,Private room, 1 shared bath ,4,267
2156,Private room, 1 bath ,1,160
2157,Private room, 2 baths ,1,180
2158,Private room, 2 baths ,1,180
2159,Private room, 1 bath ,1,180
2160,Private room, 1 bath ,1,180
2161,Private room, 1 shared bath ,1,196
2162,Private room, 1 shared bath ,1,180
2163,Private room, 1 shared bath ,1,217
2164,Private room, 1 bath ,1,180
2165,Private room, 1 bath ,1,180
2166,Private room, 1 bath ,1,180
2167,Private room, 1 bath ,1,180
2168,Private room, 1 shared bath ,1,180
2169,Private room, 1 shared bath ,1,130
2170,Private room, 1 private bath ,1,180
2171,Private room, 1 bath ,1,180
2172,Private room, 1 private bath ,1,561
2173,Private room, 1 bath ,1,180
2174,Private room, 2 baths ,1,180
2175,Private room, 2 baths ,1,180
2176,Entire home/apt, 1 bath ,1,590
2177,Private room, 1 shared bath ,1,180
2178,Private room, 2 baths ,1,180
2179,Private room, 1 shared bath ,1,180
2180,Private room, 2 baths ,1,180
2181,Private room, 2 baths ,1,160
2182,Private room, 1 bath ,1,180
2183,Private room, 1 shared bath ,1,180
2184,Private room, 1 private bath ,1,217
2185,Private room, 1 private bath ,1,180
2186,Private room, 1 private bath ,1,217
2187,Private room, 1 shared bath ,1,561
2188,Entire home/apt, 4 baths ,4,2125
2189,Private room, 1 private bath ,1,561
2190,Private room, 1 shared bath ,1,180
2191,Private room, 1 shared bath ,1,180
2192,Private room, 2 shared baths ,1,180
2193,Private room, 2 shared baths ,1,145
2194,Private room, 2 shared baths ,1,150
2195,Private room, 2 shared baths ,1,180
2196,Private room, 1 bath ,1,265
2197,Entire home/apt, 1 bath ,1,4500
2198,Private room, 1 bath ,1,217
2199,Shared room, 1 shared bath ,1,230
2200,Entire home/apt, 1 bath ,2,1244
2201,Entire home/apt, 1 bath ,2,1244
2202,Private room, 2 baths ,1,180
2203,Private room, 2 baths ,1,180
2204,Private room, 2 baths ,1,180
2205,Private room, 2 baths ,1,180
2206,Private room, 1 bath ,1,180
2207,Private room, 1 bath ,1,180
2208,Private room, 1 bath ,1,180
2209,Entire home/apt, 1 bath ,3,1600
2210,Private room, 1 shared bath ,1,180
2211,Private room, 1 shared bath ,1,180
